,gene_ids,n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,mean,std
TNFRSF4,ENSG00000186827,155,False,155,0.077407405,94.25925925925927,209.0,True,0.2774102699660046,2.086049609121642,0.66540575,-3.7645219971367226e-10,0.42448087022125475
CPSF3L,ENSG00000127054,202,False,202,0.094814815,92.51851851851852,256.0,True,0.3851940843070057,4.506987403047258,2.9550052,-3.135005482405402e-10,0.46041616503618643
ATAD3C,ENSG00000215915,9,False,9,0.009259259,99.66666666666667,25.0,True,0.03825194421813732,3.953486336741141,4.3526073,5.825179105820847e-12,0.11946544597335892
C1orf86,ENSG00000162585,501,False,501,0.22777778,81.44444444444444,615.0,True,0.6782825332473229,2.7135215694744956,0.5431829,3.841087798262474e-10,0.6851446521942264
RER1,ENSG00000157916,608,False,608,0.29814816,77.48148148148148,805.0,True,0.8148132255246746,3.447532843503337,1.5825284,8.755420716627698e-11,0.7360495428251924
TNFRSF25,ENSG00000215788,170,False,170,0.088518515,93.7037037037037,239.0,True,0.3026147508656219,3.1955348695357015,1.274278,3.2621002992596747e-10,0.4308398645099384
TNFRSF9,ENSG00000049249,11,False,11,0.007777778,99.59259259259258,21.0,True,0.032145261823337386,2.6910450719797865,1.8599523,-1.018425482098427e-10,0.13181511708204569
CTNNBIP1,ENSG00000178585,169,False,169,0.07333333,93.74074074074075,198.0,True,0.30704205915862176,4.213910765158877,2.5794048,3.586898164553928e-10,0.4081612041623285
SRM,ENSG00000116649,355,False,355,0.1837037,86.85185185185185,496.0,True,0.5228836121318852,2.764689105424022,0.72211623,-1.1720966443227403e-10,0.5844911215133655
UBIAD1,ENSG00000120942,111,False,111,0.053333335,95.88888888888889,144.0,True,0.2031720224864576,3.0425255597101293,2.5539408,-8.472987790284869e-12,0.34854130796108773
DRAXIN,ENSG00000162490,7,False,7,0.0033333334,99.74074074074075,9.0,True,0.019679831030857225,2.144287439446376,0.78039473,1.1538464161050184e-10,0.10850799994126942
TNFRSF1B,ENSG00000028137,379,False,379,0.18111111,85.96296296296296,489.0,True,0.5759391949147559,3.662347175014401,1.8867012,-4.6777953425531046e-11,0.6009072069162457
PRDM2,ENSG00000116731,177,False,177,0.075555556,93.44444444444444,204.0,True,0.2913038349523654,2.6191187519938897,0.5355567,1.4121646317141448e-11,0.43152347111605455
EFHD2,ENSG00000142634,523,False,523,0.2762963,80.62962962962963,746.0,True,0.7460889058357587,2.691376605362994,0.51182604,-2.0900036549369344e-10,0.7142622288632747
DDI2,ENSG00000197312,37,False,37,0.032222223,98.62962962962963,87.0,True,0.09750420814000002,4.019902255923055,4.4837437,4.406274284031016e-11,0.21048821975072307
SPEN,ENSG00000065526,74,False,74,0.033333335,97.25925925925925,90.0,True,0.12181312918712492,2.2236690057220208,0.9371314,2.400679873914046e-11,0.27402008424820185
SDHB,ENSG00000117118,581,False,581,0.31407407,78.48148148148148,848.0,True,0.8620226470489027,4.574565637510993,3.3339689,-7.060823158570724e-12,0.7241086575129487
CAPZB,ENSG00000077549,1500,False,1500,0.99814814,44.44444444444444,2695.0,True,1.646002044903677,3.18382190234795,1.2138814,5.895787337406555e-11,1.0247026704680635
CAMK2N1,ENSG00000162545,7,False,7,0.006296296,99.74074074074075,17.0,True,0.03315691899137507,3.7511881217158725,3.953175,-4.97293292384678e-11,0.11519093464810973
CDA,ENSG00000158825,393,False,393,0.25777778,85.44444444444444,696.0,True,0.7022519906298407,3.0924037591755518,1.0796726,-2.204631705901856e-10,0.6771054262908984
C1QA,ENSG00000173372,36,False,36,0.04222222,98.66666666666667,114.0,True,0.09877233291075375,2.745101376376281,1.966685,-9.357038705480526e-11,0.22743985185584722
C1QC,ENSG00000159189,5,False,5,0.006296296,99.81481481481481,17.0,True,0.015770294325194986,2.4815914081950363,1.4463919,1.643927618917023e-11,0.09320641310959477
C1QB,ENSG00000173369,17,False,17,0.028148148,99.37037037037038,76.0,True,0.06421010093816143,2.9816093105436776,2.4336634,7.89957172205563e-11,0.17861258196398555
